date_yyyy,platform,ncount
2007,facebook,9
2007,twitter,2
2008,facebook,80
2008,twitter,17
2009,facebook,192
2009,twitter,294
2010,facebook,438
2010,twitter,289
2011,facebook,441
2011,twitter,351
2012,facebook,289
2012,twitter,295
2013,facebook,251
2013,twitter,235
2014,facebook,155
2014,twitter,177
2015,facebook,148
2015,twitter,143
2016,facebook,121
2016,twitter,87
2017,facebook,81
2017,twitter,97
2018,facebook,59
2018,twitter,70
2019,facebook,18
2019,twitter,40
2020,facebook,17
2020,twitter,24
2021,facebook,6
2021,twitter,3
2022,twitter,1
